	RQ1. Symptoms				RQ2. Causes		RQ3. Repairs		RQ4. Impacts
id	description of symptom	symptom type	related issue	related issue status	description of cause	cause  type	description of repair	repair type	url of doc
ZOOKEEPER-3151	Jenkins github integration is broken if retriggering the precommit job through Jenkins admin web page.	3. Build and testing error	none	none		2.7 Problems in settings	Provided work around in?https://cwiki.apache.org/confluence/display/ZOOKEEPER/HowToContribute	2.1 Modifying documents	https://cwiki.apache.org/confluence/display/ZOOKEEPER/HowToContribute
ZEPPELIN-4002	Zeppelin is unable to resolve full interpreter name at the beginning of paragraph. It doesn't resolve anything after hyphen.	2. Unexpected behavior	ZEPPELIN-4008	open	We enforce interpreter name could only contain alphabet and under_score like you define variables in most of programming languages in zeppelin 0.8	3.3 Incorrect inputs	We enforce interpreter name could only contain alphabet and under_score like you define variables in most of programming languages in zeppelin 0.8. One workaround for you is to rename your interpreter.	3.10 Modifying input values	https://zeppelin.apache.org/docs/0.8.0/usage/interpreter/overview.html
ZEPPELIN-3918	[ERROR] Failed to execute goal on project zeppelin-beam	1. Crash	none	none	"It seems that some resources are not available

The beam library is too old the release for 2.11 was removed from maven repo."	3.1 Problems in my libraries	"Found a Solution: Disabling the beam Module

$> mvn clean package -U -DskipTests -Dhadoop3 -Pspark-2.4 -Pscala-2.11 -pl '!beam' | tee build.log"	3.3 Switching to newer versions	
ZEPPELIN-3195	"Need to set ""ZEPPELIN_INTERPRETER_MAX_POOL_SIZE"" with large number."	2. Unexpected behavior	none	none	"At the current moment the parameter ""ZEPPELIN_INTERPRETER_MAX_POOL_SIZE"" limits the number of paragraphs that executed at cron.
Need to set ""ZEPPELIN_INTERPRETER_MAX_POOL_SIZE"" with large number."	2.7 Problems in settings	"I renewed docs: remove old ""ZEPPELIN_INTERPRETERS"" and added ZEPPELIN_INTERPRETER_MAX_POOL_SIZE.
The default value for ZEPPELIN_INTERPRETER_MAX_POOL_SIZE remains 10."	2.1 Modifying documents	
ZEPPELIN-3175	Thus when analysts run 100 jvm/interpreter processes then Zeppelin will be fully stuck	"4. Hang

"	none	none	"Non SchedulerFactory allow to create only 100 schedulers. Schedulers aren't shared, there is one scheduler per each interpreter processes."	2.7 Problems in settings	"I had to test the bug before filing the PR.
I saw this bug in branch-0.7 and master branch several month ago.
It's excellent this bug is absent now.

pr is not merged"	1.1 Fixed problems	
ZEPPELIN-2877	Apache Zeppelin 0.8 SNAPSHOT build from source failed on Ubuntu	3. Build and testing error	none	none	"Looks like Scala version 2.11 is the reason why the build is failing. To fix the problem, I have used following configuration.

./dev/change_scala_version.sh 2.10"	3.1 Problems in my libraries	"To fix the problem, I have used following configuration.

./dev/change_scala_version.sh 2.10

# build zeppelin
mvn clean package -Pbuild-distr -Pspark-2.2 -DskipTests"	2.3 Modifying build files or options	
ZEPPELIN-1966	"Lets suppose user1 has created Notebook 9 and he has not changed the note permissions.
And the user2 logins, since the Notebook 9 is visible to user2, he can change the
permissions of the user1 note(Notebook 9)."	5. Security threat	none	none	your question has been solved by this PR£ºhttps://github.com/apache/zeppelin/pull/1625	1.1 Fixed by related issues	your question has been solved by this PR£ºhttps://github.com/apache/zeppelin/pull/1625£¬ and zeppelin 0.7 solved the problem	3.3 Switching to newer versions	
YARN-8279	logaggregation.AggregatedLogDeletionService (AggregatedLogDeletionService.java:logIOException(182)) - Could not read the contents of hdfs://prabhucluster:8020/app-logs/hive/logs	1. Crash	none	none	AggregationLogDeletionService does not honor yarn.log-aggregation.IndexedFormat.remote-app-log-dir-suffix. AggregationLogService writes the logs into /app-logs/<user-dir>/logs-ifile where as AggregationLogDeletion tries to delete from /app-logs/<user-dir>/logs.	2.7 Problems in settings	"The fix is to set the below properties in yarn-site.xml and then restart Mapreduce HistoryServer and YARN services. 
yarn.log-aggregation.IndexedFormat.remote-app-log-dir-suffix and yarn.nodemanager.remote-app-log-dir-suffix to same value ""logs-ifile"" which serves AggregationLogDeletionServic"	2.2 Modifying my settings	
YARN-5381	NPE can be thrown when wildcard is used in libjar option and if the cluster is secure.	1. Crash	none	none	"Per Daniel Templeton's comment in YARN-5373, a windows implementation is no longer needed as PrivilegedOperation is used. Closing this."	1.1 Fixed by related issues	"Per Daniel Templeton's comment in YARN-5373, a windows implementation is no longer needed as PrivilegedOperation is used. Closing this.

I have a fix working that uses a PrivilegedOperation instead of modifying the script. Haibo Chen, you can close the Windows JIRA. "	1.1 Fixed problems	
XMLBEANS-512	"In SaxHandler, if an XML entity exceeds the entity byte limit, an exception is thrown. Too bad the counter is not being reset, so when the same SaxHandler parses another, valid XML message, the same exception is thrown again."	1. Crash	none	none	"This only happens when using the default XMLReader Piccolo

piccolo support was removed in v3.0.0

Release: Apache XMLBeans 2.0.0 released! (30 June 2005)
XML parsing is now by default performed by Piccolo, a high performance parser

Release: Apache XMLBeans 3.0.0 (June 29, 2018)
XMLBEANS-515: remove piccolo support"	3.1 Problems in my libraries	We no longer support Piccolo - upgrade to XMLBeans 3.+	3.3 Switching to newer versions	http://xmlbeans.apache.org/news.html
WEEX-229	the value attribute is not working 	2. Unexpected behavior	none	none	 text components value attribute not effective	3.3 Incorrect inputs	"The conclusion is that it's not likely to support 'value' attribute for 'text' component yet in weex-vue-render@1.x. You should put your text value as a child of text node. e.g. Use '<text>test</text>' instead of '<text value=""test""></text>'."	3.11 Modifying input format	https://weex.apache.org/docs/components/text.html#attributes
TOREE-428	org.apache.spark.SparkDriverExecutionException: Execution error   Caused by: java.lang.ArrayStoreException	1. Crash	none	none	"I'm not sure why this works, but given the work-around is so easy, we are planning to wait for Scala 2.12 or just move away from the standard Scala interpreter.

this was a limitation on Scala 2.11 so closing this"	"1.2 Fixed by newer versions
4.2 Problems in languages"	"The work-around is to create the case class in a separate cell. I'm not sure why this works, but given the work-around is so easy, we are planning to wait for Scala 2.12 or just move away from the standard Scala interpreter."	2.3 Modifying build files or options	
TOREE-411	"I am trying to work with Hive tables but is impossible to see it with toree.
It works perfectly in pyspark kernel (ipykernel), but in toree kernel it returns an empty list."	2. Unexpected behavior	none	none	The root cause is found in Spark. Toree starts the default SparkSession object without Hive support.	3.1 Problems in my libraries	"The workaround is to start the three kernel in hive catalog mode.
Add this property into spark-defaults.conf"	2.2 Modifying my settings	
TOREE-353	I cannot see Hive tables inside Toree kernel.	2. Unexpected behavior	none	none	"Hive 2.1.0 may be causing some issues. Spark by default uses hive 1.2 for the metastore. 

Can you close this and ask your questions on the Spark mailing list as this is not part of Toree."	3.1 Problems in my libraries	Can you close this and ask your questions on the Spark mailing list as this is not part of Toree.	1.2 Unfixed problems	
TOMEE-2183	org.apache.commons.codec filtered by the classloader : java.lang.ClassNotFoundException: org.apache.commons.codec.binary.Base64	1. Crash	none	none	"While debugging I saw that ""org.apache.commons.codec"" is intentionally filtered by the classloader"	2.7 Problems in settings	"openejb.classloader.forced-load=org.apache.commons.codec # in conf/system.properties
should allow you to workaround it.

This is being worked-around using 
openejb.classloader.forced-load=org.apache.commons.codec"	2.2 Modifying my settings	https://tomee.apache.org/refcard/refcard.html
TOMEE-2181	when I try to load the PKCS12 file I'm getting a java.security.UnrecoverableKeyException: failed to decrypt safe contents entry: javax.crypto.BadPaddingException: pad block corrupted	1. Crash	none	none	" I add Firebird and MySQL datasources. If I only add their drivers to the lib folder it still works, but by the time I reference a Firebird or a MySQL datasource on tomee.xml I get the keystore error,

it only happens on tomee plus (not webprofile) with JMS activated cause of bouncycastle which is registered in position 2 by default. "	2.7 Problems in settings	You can tune it to be later in the chain (org.apache.activemq.broker.BouncyCastlePosition = 8 for instance in conf/system.properties) and the JVM security provider will be taken and work as expected.	2.2 Modifying my settings	
TOBAGO-572	"The first time the page is rendered correctly, but if you go back you will get an exception
java.lang.IllegalStateException: Client-id : _id54 is duplicated in the faces tree. Component : page:_id54, path:
{Component-Path : [Class: org.apache.myfaces.tobago.component.UIViewRoot,ViewId: /helloWorld.xhtml][Class: org.apache.myfaces.tobago.component.UIPage,Id: page][Class: org.apache.myfaces.tobago.component.UICell,Id: _id27][Class: org.apache.myfaces.tobago.component.UIBox,Id: _id29][Class: org.apache.myfaces.tobago.component.UICell,Id: _id54]}"	1. Crash	none	none	I think facelets has a bug if you are using component binding and embedded components.	4.2 Problems in languages	 I tried to define the binding attributes with <f:attribute> like this	3.11 Modifying input format	http://myfaces.apache.org/tobago/tobago-core/tlddoc/tc/selectOneChoice.html
TOBAGO-319	On click the popup opens but the action inside the popup box is not executed.	2. Unexpected behavior	none	none		3.2 Problems in my clients	Can you try it with popupReference to a popup outside the sheet.	3.9 Modifying API calls	https://myfaces.apache.org/tobago/doc/1.0.28/tld/tc/popupReference.html
TINKERPOP-2286	"Our provider version only supports string id, however when loading data with numeric ids via g.io().read().iterate() the DB didn't error out, but assigned random ids to those vertices with numeric ids, causing regression."	2. Unexpected behavior	none	none	"The Reporter thinks if the instance only allow string id and the id is not a string, it should error out  :
if the user import graph from a source which has numeric ids into a target only allows string id. The target graph would replace the numeric id with some internal ids and won't raise any exception to the user. The user would assume the graph import was successful and tries to get the vertices with the old ids but then realized that all the ids have been changed with some random internal ids. I think it would cause a great pain for the users."	2.2 Incompatible issues	"I tried the method to throw exception from willAllowId(), the result looks good. Please feel free to close this issue."	3.5 Overridden APIs	
TINKERPOP-1881	"When attempting to add vertices and edges with custom IDs using the following traversal, Python returns an error stating that the returned object from the id built-in function is not serializable."	1. Crash	none	none	"I believe the cause is due to id also being a Python built-in function.  We might need to address this in the same manner as we've addressed as, in, and, or, is, not, from, and global by adding id_ to that list?"	3.3 Incorrect inputs	" Using T.id works, so that will be a sufficient solution to this."	3.10 Modifying input values	
TIKA-2408	"I got a ZipException when try to extract text from DOCX file
IMHO, POI is right to throw an exception and stop"	1. Crash	none	none	"Caused by: java.util.zip.ZipException: invalid literal/lengths set
 at java.util.zip.InflaterInputStream.read(InflaterInputStream.java:164)
 at java.util.zip.InflaterInputStream.read(InflaterInputStream.java:122)
 at org.apache.poi.openxml4j.util.ZipSecureFile

Without significant work, we can't fix this in POI's DOM parser. "	3.1 Problems in my libraries	"Our new, experimental SAX-based docx parser ignores problems with numbering and extracts text from this document

See: https://issues.apache.org/jira/browse/TIKA-2109?focusedCommentId=15828228&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-15828228
for how to configure tika-config.xml"	"2.2 Modifying my settings
3.6 Implementing wrappers"	https://tika.apache.org/1.24/api/org/apache/tika/parser/microsoft/OfficeParserConfig.html#setUseSAXDocxExtractor
TIKA-2405	I got SAXParseException in text extraction from DOCX file 	1. Crash	none	none	"Caused by: java.io.IOException: Unable to parse xml bean
 at org.apache.poi.POIXMLTypeLoader.parse

Without significant work, we can't fix this in POI's DOM parser. "	3.1 Problems in my libraries	The workaround is to use our currently experimental SAX parser. 	3.6 Implementing wrappers	https://tika.apache.org/1.24/api/org/apache/tika/parser/microsoft/OfficeParserConfig.html#setUseSAXDocxExtractor
